Puzzle,Solution,Time (milliseconds),
.....9....81.....7...........7.865.4..59..3...4.....8.9..1..6.5.6..78.41.3.......,423769158681453297759812463397286514815947326246531789978124635562378941134695872,32,
5.67..24.29......7..4.9..6....5..82...8..........3.7...7346......5..2...84.....3.,536781249291654387784293561617549823358127694429836715173468952965312478842975136,73,
..6..1.8..93..4..124.3...96..........8...7.341.7......36..2.......8..7....4......,576291483893564271241378596459632817682157934137489625368725149915843762724916358,97,
..7....53945...7..6..1.....2.4..7.693..2..4..19...........6.1.......2.767.......5,817924653945638712623175948254817369376259481198346527582763194431592876769481235,68,
1.84.6....53.98..69...5....3.....47......76...........8.....9.35..1..74..9.6..8.5,128436597453798126967251384385962471249317658671845239812574963536189742794623815,46,
.7..56.......4......62.1......8..2..1......3...56148..6.21...........3.5.58.73..2,279356418513748926846291573964837251187529634325614897632185749791462385458973162,67,
86.4....9.....831...9.6....2...4.............3..1.....1......23....79..1.7.3...64,863412579425798316719563482286947135951836247347125698198654723634279851572381964,74,
.7......2..59.......261...919...8....83.............6.5..18.7.......23...37......,971834652865927413342615879196248537783596124254371968529183746418762395637459281,100,
..........4...9.81.9....72...7...3...8...794.32......8216.8....8.4....1......6...,163872459742359681598641723457918362681237945329564178216483597834795216975126834,84,
...5..3....4.39..........58....5..96...2.67.......4...4.687.5...356..4...879...2.,619528374854739162372461958241357896593286741768194235426873519935612487187945623,36,
...72......3..8...9.........4.89....2.8.3....5....692.8...5.23..7...94.5..2..78.9,184725396723968541965143782647892153298531674531476928819654237376289415452317869,44,
2..7.1.....1.9..3....83.5.....9.8.5.5.........14..7.8.4.815......3.8...292.......,235761498841295637697834521762948153589316274314527986478152369153689742926473815,39,
......7.58......13.657.38.......8196...63..27.....5....3..6.......92.........79.1,341892765879456213265713849753248196184639527692175384938561472517924638426387951,118,
.4.9....7.......92......13.1..6.3.74.69..8...........94......1....1.78....6..2...,842931567531786492697524138185693274269478351374215689428369715953147826716852943,67,
.3.12.6...91.4....8....391....3....4.732.41.....81.7.2.2.4.........8....9.......7,735129648691548273842763915218376594573294186469815732126437859357982461984651327,39,
..64.7.1..9...16.5....26..7.1..........9.8.....81..5.95...8..4.4....21.8.7.......,256497813794831625183526497917265384345978261628143579531689742469752138872314956,176,
6...2..8...87..4....74........3.2.4...........2...539....6.4..9..3....5.7.693.8..,614523987538796412297418563879362145365149278421875396182654739943287651756931824,151,
..746.9.2...2...34....3..........261...5......6.....9....1..5..6..945.2.31..2..7.,837461952196257834254839617583794261729516348461382795942173586678945123315628479,41,
..5....7626...3...3...1.....9.....51...4.1.........62.5.1...4..63...2..5.7.....9.,915284376268573149347619582492836751756421938183957624521398467639742815874165293,83,
..2.......7....9.46.....7....1.4......5..2...729...8..8.7...21..4......6...57..9.,592487361178326954634159782381745629465892137729631845857964213943218576216573498,106,
7.8.........89...4.5..........43...6.41.7..........7.351..6...99.....3....3..5.68,738654921162897534459123687827439156341576892695281743514368279986742315273915468,215,
3...6.5.85....2....2.94.......8....3..8.3.1.6..........9..2..51...6.1......4...9.,349167528517382469826945317965814273278539146134276985493728651752691834681453792,42,
3..6.4..2.6.........2....3......7....4..8..515.62..8...3.......7......14...3.57..,375694182968132547412758936183567429247983651596241873831479265759826314624315798,36,
.....8..4.....2....9.4.....1.2.8..3..7....4.9.467...21....4...36.4139...8........,263598714487312965591467382152984637378621459946753821715846293624139578839275146,190,
...1947.........51..3.....8...9..58..9..136.765.....1...........14..7.....734....,825194736749836251163725948371962584498513627652478319936281475214657893587349162,107,
..694....8.7......13...........831.45....4.63....167...6.....3.384.....6.....5...,256941378847352619139867452672583194518794263493216785765428931384179526921635847,137,
...65.792...8.2..43....9...6.5.3.........83...4.....5....2.4........6....82.7...9,418653792759812634326749581675431928291568347843927156567294813934186275182375469,36,
.2.1....8431.2.......5....78.7...5..3..7.9.14.....58.2.....2..5519.......4.......,725196348431827956986534127867241539352789614194365872673912485519478263248653791,142,
......621.7...2.3...4.16..8...23.51...............82...4.58....2..37.8.5.....43..,985743621176852934324916758498237516632195487517468293743589162269371845851624379,43,
.......31..9...4..8..46...........5...43.....1.5...398.......47.9.7.5.1.38.9..6..,642879531719532486853461279238196754974358162165247398521683947496725813387914625,56,
...23.......5.4.6..8.7.6.4....4..........31..24..6..575.......2.....87..3.....81.,614239578732584961985716243173425689856973124249861357568197432421358796397642815,71,
...2.....7.3.......2.........485..9...5.7.1...9.1..2...7...83.29.......55..437..1,149285637753916824826743519614852793285379146397164258471598362938621475562437981,168,
3...5.....627........2..4...2.....3.45...6......8.7..45...7.8..63.1.5........8..6,384951672962784315715263489826549731457316928193827564541672893638195247279438156,44,
....57.....81.635...3.8...1..........6....21.....39.6......2....35.7.69.1.2....8.,921357846748126359653984721284615973369748215517239468876592134435871692192463587,60,
....76.481.....5..6...8.9.7847......2.......5.59..........9..8691.............1.2,593176248178924563624385917847512639261839475359647821435291786912768354786453192,53,
..27.9.......5...267.8.....4.8...3....72.3.......4.5......2...6.2...4.8.5...68..3,142739865893456712675812934468195327957283641231647598789321456326574189514968273,139,
...7.......39.2.6..4..8.....9.6....1..8.7..2.6.2....8..8.3..1...2.....74....69...,261734859853912467947586213795628341438175926612493785586347192329851674174269538,71,
2.8...1...6.....7..1.5..2.64.........3.........5..7.1472...54........6.3..642..8.,248376159569142378317598246472961835931854762685237914723685491854719623196423587,61,
.....24...5....73....9...1.2..1....8.3..5.....7....9.3....2...714857......3......,916732485452618739387945216264193578839257164571864923695321847148576392723489651,64,
..3...9..6...437...45.28.....4.9...5..2785.6...9..4..3.8............6..8.......3.,213567984698143752745928316864392175132785469579614823986231547351476298427859631,184,
..5..614.9..8..........57...7......2.2....9..4........2....4......61.5..718.9.46.,835726149947831256162945738579483612623157984481269375256374891394618527718592463,48,
....2..83.........9.41.32....2..64.1.4..7.......29.76.....48.27..79..6.8...61...4,716429583823765149954183276572836491649571832381294765165348927437952618298617354,41,
....1.4.61.9.3...5..25.8..1345.8........6.1.......39..9.3.4......4.96........5...,538219476179634825462578391345981267897462153216753984953847612724196538681325749,132,
.......3.69.....5..8..9..2....8.........2..1....6.32..9....5...5.64.219...2.318..,274156938693248751185397624329814576867529413451673289918765342536482197742931865,37,
.....96.....2.......2486937.....4.71....9.2...4.3....9..8.17..4.1......2....6....,874139625963275418152486937289654371531798246746321859328917564615843792497562183,96,
...3.....1.....279..4.8.....82...7..6...3..1.4...........4..6...2.6..83......1.2.,265379148138546279794182356582914763679238415413765982857423691921657834346891527,40,
.3.4...7..9......58.......24.....2.9.652.8.4...7.5...6..9.7...42.....78.....3....,531429678692187435874563192483716259165298347927354816319872564256941783748635921,97,
....7......84.....6......57....8..1.....31.........87.4.3..9.65.8.5..4.1.9.74...3,935172648178465932642398157254687319867931524319254876423819765786523491591746283,109,
..5.......43....91.1........2..1..83.5......44...9..2..81.5.2...9.4..8.....63....,865149372743285691912763458629514783158372964437896125381957246596421837274638519,120,
.9..7.............4..2..8...2...8.9.9..4.....67.3..45...58.62..2...43..58....7..6,198674532362185974457239861524768193983451627671392458735816249216943785849527316,38,
5..6.7.....2..3.....41...7336.7....1..1...7.......9..5.......3..2....9..417......,539687124172453689684192573365748291291365748748219365956821437823574916417936852,147,
..3..45...5..93......8......72.45.8..3..8..9..6.....73..7..9.....94.6....4.52....,193764528658293741724851369972345186431687295865912473287139654519476832346528917,96,
.65..178....5..6.34.3....51...6....7....8......194....87641........7....9..8.....,265391784187524693493768251348652917729183546651947832876415329534279168912836475,335,
.64....85.758.41.9.9.3....41...9.7.....4..........89.1...6.........73.5.64...9...,364917285275864139891325674158296743729431568436758921513642897982173456647589312,39,
23.75.......38.....769..8...1..2..........28.......57...75..1.3..9....5...3...76.,238756914951384627476912835715829346364175289892463571627548193189637452543291768,111,
......4..1.......2.......6........94.68.295.33..1..8...2...8..6..3.5......941.38.,756281439184693752932547168217835694468729513395164827521378946843956271679412385,39,
.9.....7.......5.3...452.6.....45..9..3.9.1.61.....75..7...1.....53..........762.,596813472421679583738452961687145239253798146149236758872561394965324817314987625,56,
84..9......5..1.4.....37.....3124.97...9....2.....3...98....2.......2.84...7...3.,847295613325861749619437528563124897174958362298673451981346275736512984452789136,79,
.421.3.9......97.........38.3.2...........3.71..8.....3..4.72.1.9...2.....5.....3,742183695683549712519726438936275184854961327127834569368497251491352876275618943,53,
......3..8...7.61..12..3.9...4..816768........71..482..........7..31...94.....2..,967281354843975612512463798294538167685127943371694825128749536756312489439856271,66,
..1..9......2.7..4....8.37..549....1...5...3...9.....23....5.874.5..........1.9..,741359628583267194926184375854923761267541839139876542312695487495738216678412953,79,
..38..5..1........69..1..244.......5.89....6..2.....8....68......5.3...6..1...23.,743862519152943678698715324416328795389574162527196483234687951975231846861459237,215,
423...96......9.2...5...7..238.......5..4....6.9.8....7....3.84.....6.9...4...5..,423718965871569423965234718238195647157642839649387152716953284582476391394821576,43,
....6.8..........58...19...5.74.81...61..3..9......3..............5..76...86345..,973265814612847935845319672537498126261753489489126357356971248194582763728634591,134,
.1..3...7............7.5.3.....87....7.1.468........4.1.5..3.2.73..2.86..2845....,416238597357649218289715436642387159573194682891562743165873924734921865928456371,43,
.......8...1..5..6..6....218.7.6..3.....8.6...5.....9......2..92.9371...3...5.27.,572416983981235746436798521897564132124983657653127498765842319249371865318659274,71,
.....2..5.8.....9.932..........41....95......7.159....42.1..5.8...8..91......47..,176982435584376291932415876268741359395268147741593682427139568653827914819654723,80,
1.5...3.4.8.6....1..3..8.5....8..1.....76.........2.4.....36..2.4.2......3.5..7..,165927384489653271723418659297845163354761928816392547578136492641279835932584716,87,
..5..98..91.6.8......1...5.5.9..1.8.6..2......3....2.41....2...8.6.1.......4.3...,465739821912658743378124956529341687684297135731586294153872469846915372297463518,74,
.42......96.7....85..9.4..27...2.5....9.1.874..5...6.............7.........48..16,342168957961752348578934162784629531629513874135847629856271493417396285293485716,63,
62...........5.83......9.7..37...29.24.....5...57.3...8...3.5....9..8.67.......2.,623874915791652834584319672137485296248961753965723481872136549359248167416597328,50,
.9746.25.3.65....1...7..69..4..............3.23.....4...9.73.2......2..46...9..1.,197468253386529471524731698945316782768245139231987546419673825873152964652894317,121,
76.45.......9.16......7.2.41...............8..4......9..1..65..8...4..2...9.85.17,762453891584921673913678254157869342296734185348512769471296538835147926629385417,43,
3..62...5..531.8....2.9...1.9.....8.143......................58..1.3..4.539.6..2.,318627495975314862462895731297153684143286579856749213624971358781532946539468127,146,
7...9.5..698....32..........3....86.58...3....195.............7.2...7186..3....59,742396518698145732351782694237914865586273941419568273164859327925437186873621459,116,
73..9.4...4.........6.52..1.6.1345.2.....67....2....3.42..........7........9....6,731698425245317968896452371967134582354286719182579634429863157618745293573921846,71,
.....97..3...2.1....4..58.9......9....3.9..25........32.98..3..7...14...1....2.8.,581349762397628154624175839462753918873491625915286473259867341738514296146932587,160,
....6.87......3..6..24..13....8.1.4...7.24....3.7........1.7.........49.3.49.6.8.,153269874748513926962478135296831547587624319431795268829147653675382491314956782,40,
......3..9.4..3.2.7......14....78....7.29.5...9.35.8..2..48.9......3..5...9.....1,521746389964813725738925614453678192876291543192354867215487936647139258389562471,115,
..3..2.....47.1..6...6..9....23..7...8.4.9.1...........3..6.1.94...1....69.8.34..,963542871854791236217638954142386795586479312379125648735264189428917563691853427,52,
758..39..6.9...1.3.3..4...8...5.9......63..843.1.8........6...5.1..5....8....4...,758213946649875123132946578486529731597631284321487659273168495914352867865794312,76,
2.7...9...8.91...5.....2.1...98.6...64..5...7..24..1......957.....7.............6,217568943386914275594372618179826354643159827852437169428695731961743582735281496,46,
8...126..46........194.8....9.5....2...2.45.7.5..964....7..1......6..2.......9...,875312649463975821219468735394587162186234597752196483637821954941653278528749316,112,
..3..........8.4.775..3..1.4.......2...2...9..1....5..2..1.8.45.....29..34...7...,183724659629581437754639218475893162836215794912476583297168345568342971341957826,89,
.8....2...5.4..61...7....542......9..9...51671.6......5....98..8...5..2..4.......,384561279952473618617892354275186493498235167136947582523719846869354721741628935,85,
57...3...4962.5..3...4.97.....5....4...8..6..7........3..7.6.9.....3....26.9....8,571683942496275813823419756682591374135847629749362581318726495954138267267954138,68,
2.7...8...6........4..1.72..8..756.3.1...6......142..81.5.......7....4.6.3.......,297453861861729534543618729482975613719386245356142978125864397978231456634597182,34,
3...7.....6........7496....24..3..1.7.8............9....9..237...2.8319.......42.,325174869961328754874965231246839517798251643513647982689412375452783196137596428,40,
....726.3...9......35.....9..38..1.7.1.56...2.2.....35.........9.....8..26.......,189472653642935718735618249593824167417563982826791435374286591951347826268159374,40,
......7...4........76.45...45...2..8..7.5..2.9....4.....9.87..1..1....89.2.5.9.7.,195268734248793165376145892453672918687951423912834657569387241731426589824519376,84,
.....9......8..5.95.....17....1.2.4.....3...7..94..81..42.5..38......9.2.3.......,726519384314867529598324176873192645451638297269475813642951738185743962937286451,36,
.2.4..9..74...832....17...85......7..13......4.9......9..71..5.....5......8.3....,825463917741598326396172548582341679613927485479685231934716852267854193158239764,41,
72..845.14..6.....6...5..7..462..85.......2.3..31....7.....8.2..5....3........7..,729384561415627938638951472146273859597846213283195647974538126851762394362419785,34,
7....2.6.3.....1.....68.9.52.9............6.1.75.9.......91....1...6.........73..,798152463356749182421683975219436857843275691675891234532918746187364529964527318,102,
...376......5.4....54.8..3......98........9.45..8.......1....27.4.7......93..5..1,982376145317524698654981732426159873178632954539847216861493527245718369793265481,148,
.......2.8....6..4.9....8....8.23.......495...4.6..23..6...4.....9.3278.......4.9,174398625835276194296415873658123947723849561941657238567984312419532786382761459,43,
2....4.7..59....3..34...2.8....695...8.7....2...4..689..7...8.4.......9......576.,218534976759682431634197258342869517986751342175423689597316824463278195821945763,89,
7.....2.8......79.8......56..4.7....2.89...61.56.8..4.........9.297.56......4..2.,795463218163852794842197356914576832278934561356281947531628479429715683687349125,108,
6....1.37...26.8...4....2..7...5.....1..86..........5.86.......1...3...4.74..512.,628541937537269841941378265786953412215486379493127658862714593159632784374895126,73,
3...6.4...9...7...45.8....3...9..5.8.7......4....4.69.86........4...2..552......9,387569412192437856456821973614973528978256134235148697863795241749612385521384769,34,
.7..5.2.452.6..3.....9...7....4.29..........5.......3.75.3..6..39..1....6..54....,976153284528674319143928576815432967439761825267895431751389642394216758682547193,86,
...........6.4....1..7..9...69...1..81....42...4.9.3....19.47.39..8.7....23......,478269531596341278132785946369472185817653429254198367681924753945837612723516894,32,
..4......6...1.....1...963..8.......34..28..99.23.....17...386.4...8617....7.....,894632517637815942215479638781594326346128759952367481179253864423986175568741293,105,
......931.....7......95..4......34....4.7.86...64...593...48....1.3.....7.......5,567284931491637528283951647975863412124579863836412759352748196618395274749126385,95,
...749........3.........8..3.8.......5.3...411.7.2538...3.5..7......8.2.7.94.....,831749265275863194694512837368194752952387641147625389483251976516978423729436518,82,
.8.....9.57...8...1.3.....491....7..3......81..4....25......4.883.5........9..37.,486132597579648132123795864918256743352479681764813925691327458837564219245981376,116,
..4...28.......6...5...2...1..75....8..6..45...2.38.....7.......2..6...343....5.8,394516287218473695756982314169754832873629451542138976687345129925861743431297568,157,
..2....74...........4.8...65.3.28...8..47..3....56.2...5..9..8......2..774..5..6.,182936574675214893934785126563128749821479635497563218256397481318642957749851362,94,
5.3.1...7..2....1......2..4.6........9..746.3.7..29...............2.6...6..357...,543918267782465319916732854164583972295174683378629145437891526859246731621357498,241,
..3...7..8..4.9....42..1...1.7.3.5.4.2..5..............1...3....5.2...983.85.....,693825741871469235542371689187932564426158973935647812219783456754216398368594127,38,
.....7..3.......5..3....1.6578.......2.6...3...915...29.......1....1..27.87.3..9.,215867943796341258834592176578923614421678539369154782942785361653419827187236495,259,
1...39.864........5.6....9...53......3.84...281.9............4....1...6....5..9.3,127439586493658721586712394645327819739841652812965437378296145954173268261584973,62,
93...7.6.7.....9..2..4...71.4.............3.93.1..........5..14...6.2.37..6..4...,935127468714865923268493571547936182682571349391248756823759614459612837176384295,83,
4.....6.72....78..9......41.8....1...3..8.269.6..........6.24.8..1.9...........72,458319627216547893973268541582976134734185269169423785397652418821794356645831972,119,
..289...4.5..2.31..49...58......8...7954.12.....75....2.........3...9....8.3.....,312895674857624319649173582123968457795431268468752931274516893531289746986347125,23,
79.....6.1....92.......2.31......3.....7.....38..916.286.....9..3..58.....7.....6,792314865153869247648572931476285319219736458385491672864127593931658724527943186,24,
......75..3987....54..21..9.5..8...3....9.1..1.2.345...2.....4.....5..2.3........,218943756639875214547621839756182493483596172192734568825367941961458327374219685,171,
.518...6.....9.4..9.843.........5.7.......18.51....3...........8...196.77....8..9,451827963673591428928436751389145276264973185517682394196754832835219647742368519,50,
.7..1.6......56..3.49.....7986..3.................9.....4.9.3.61..3.8.748...4..9.,375914628218756943649832157986423715421675839537189462754291386192368574863547291,133,
..5...6.94.....2..9...1..4.......5..............6.847.86.1.....1.97.2..65..89.1.7,325487619471569283986213745618374592754921368293658471867135924139742856542896137,26,
7..9.53.2.2.8.46.73....259.4.9.......734....9.6...........2.7....276.9...8.......,746915382925834617318672594459286173273451869861397425694123758532768941187549236,23,
.8.5..7.....824..5...3.......1...5......4..79.....7..22.7.5..1.......8....549..3.,486519723713824695592376481971263548628145379354987162237658914149732856865491237,24,
..5......84...5.7.62.......5.....7.12798..4...........9.42..5...6.1....97....96.2,195746283843925176627318954538694721279831465416572398984263517362157849751489632,32,
.49.2...1.5.......38.....5....34.....28.59.3..9...8..6.1.632..4...4..2...........,749523681152867349386914752571346928628159437493278516915632874837491265264785193,29,
7.8...1....2......6......7..9.57....3....2.8..7.83.56......5.2.5..1.6.........7.9,758463192412957836639281475896574213345612987271839564983745621527196348164328759,26,
9.8.1.24.4..92....1...83..9.1.....7...62.....3..6984........71........64.2....9..,968715243435926187172483659219354876846271395357698421683549712791832564524167938,28,
...3...7..........897.....14187.5..96.........7...4.....3...7..74.93.8.5.5..6..1.,564319278231578964897246351418725639629183547375694182183452796746931825952867413,25,
3..8..2....7...5.42..4.5..6.79.5.8..5.2..4....3...6.7...46.9.2.................3.,345861297867392514291475386679153842512784963438926175154639728983247651726518439,24,
6..9..27..9...36...7.25...1.1..2........9......2....5.7...8.....5.3..96...9...738,645918273291743685873256491317625849584197326962834157736489512158372964429561738,121,
...........24.1...67...3...5......98.8..6..3.16...25.....5...1.....3.26...4....89,841659723392471856675823941523147698487965132169382574236598417918734265754216389,22,
7......61.3.2.....6...45.39.1.........3.5261.5.4.9.....9..6.....5..34.2.4....1...,745389261839216547621745839218673495973452618564198372392567184157834926486921753,22,
...2.51.....46..8...2.1..4.1....3..9.46.......9.1.....96..2.....2.9....3.8.3.....,874235196519467382632819547158643279346792851297158634963524718725981463481376925,31,
1..2...4..4..37.61......3.7...............1742....1.9..6.9....379..6..8...8..2..6,173256849945837261826419357614798532389625174257341698561984723792163485438572916,263,
.7.....9..6..1....54...678..3.9..4.1..74.1.5...5.........567...8...4.........3...,278354196369718245541296783632985471987431652415672839194567328823149567756823914,109,
..2....89.1.5.96.44..3.....9....42.....1264...............93..17..4..8..5........,652741389317589624489362175963854217875126493124937568248693751796415832531278946,21,
..6.2.9...394....7..5.9.....9.7.51...5..3...461.....2......1...........3..2..4...,476523981839416257125897346294765138758132694613948725947351862561289473382674519,47,
....1...5.927.51......284........7.9.876....2.......4.16.4.79...7...9..6.........,748316295692745138531928467216534789487691352953872641165487923374259816829163574,72,
8.3.......41....3.76....8..13..............5....58.17.....4...8.8..6.3.74...9..15,853219764941678532762354891135927486678431259294586173316745928589162347427893615,116,
..1...3.....8514......72.......2..4..7....829.895.....138........54............9.,751694382392851476846372915613928547574136829289547631138769254925413768467285193,124,
...4..38..4..65.....2.....6.....7.2...85..4.7...2...35...8......59...6.......397.,695472381841365792732918546513647829928531467467289135174896253359724618286153974,23,
2...6.8....4...9......596.3.8..41..5.1...8.32...5.............8.....4......392.41,293167854654823917871459623389241765516978432427536189942615378135784296768392541,21,
.........6.842..1...4.63.....12..8...7.68...44.2..15.7............3.8.....371..4.,237159486658427913914863752561274839379685124482931567146592378725348691893716245,169,
.1...4..5.4.8..2...82....7....2....6.....8.9.....17............7..4...6...16.978.,916724835347856219582391674879243156124568397635917428268175943793482561451639782,25,
..7.......216...9...4.83.21....6.7.98931.4......3.............8......6.......9.72,587921463321645897964783521142568739893174256756392184475236918239817645618459372,51,
....1..8..1....2.3.......451....539.89..61....5.84........54.31.24.8.6.......6.2.,635412987418597263972638145146725398897361452253849716769254831524183679381976524,54,
6.8..943..4..6......98.3....14.3..9......68..7..1.........7..1..329.......1......,628719435347562189159843627814237596293456871765198243486375912532981764971624358,24,
......4..7....3...35.........5.........21......256.9.4.2.39.7..6...4.1.2..7..15.9,218956473764183295359472861145839627976214358832567914521398746693745182487621539,63,
.......94.12.9..5.4.....3.1.....2.....4.3987..5...1.....52......3.578.......4..3.,583167294612394758497825361768452913124639875359781426945213687236578149871946532,26,
.3...2..7..413.2........1.9..1...........7..4......8163...9..6.9.8.7.....4..6.3.8,139852647674139285582746139421685973896317524753924816315498762968273451247561398,55,
4..9.825...6...3......5...7..34...79....6......4.2..6..3....5...7..84........6..2,417938256956247318328651947263415879185769423794823165639172584572384691841596732,26,
..1.....27....53..84......6....51....12.....46.724..1...6....2.5.47...........685,361498752729165348845372196438651279912837564657249813196583427584726931273914685,48,
.....4..33..5..9.4.2........3.....4....72..8.5..6..7...6.8.2.3.45..6...........79,895274163371586924624139857732918546946725381518643792167892435459367218283451679,22,
59.6....363.....742.8.4.9......2.35........469.....7.....8..63..6.5.28.......7..2,594671283631289574278345961146728359827953146953416728712894635469532817385167492,23,
....4.796.4.........3...2..918..3.....4....7........63...8.....8.7..16323...6...1,182345796546729318793186245918673524634258179275914863461832957857491632329567481,141,
.1..6...34.9........5.4...6....5....65.294.....2..3...1.3...2...4..3..9..8.5.....,718965423469328751325741986934857162651294837872613549193486275547132698286579314,24,
.........3.9.18..........585...84....6....3..9.86....7..7..9....8..6.94...4.3...5,826475139359218476471396258513784692762951384948623517637549821285167943194832765,173,
.53.9....1....6...42.....3.53...........1.24...1....5.....41.7....5....67....29.1,653794812187326594429158637534287169876915243291463758962841375318579426745632981,171,
