Puzzle,Solution,Time (milliseconds),
.47.....58....5....6.8....4..526.....8...9...2....3...7..4.25....9....87...9..4.2,347691825892345761561827934935264178186759243274183659718432596429516387653978412,169,
.7.5..2.6.3.2.7.41.9..........4.3...2......5..51..276.............7..12...961.4..,174598236835267941692341578967453812248176359351982764513824697486739125729615483,71,
..2.3.1.85..28.7........5....13.7..6....169..73.85...1.57.....23..........8.9....,472935168569281734813764529941327856285416973736859241157648392394172685628593417,113,
...8......596.21.88....92.7....2.......3......71...6....3.9.......15.7....8267...,127834965459672138836519247684721359295346871371985624763498512942153786518267493,55,
.2.3......6...5.....3..1.6......4....4.21....6..93......2...91..1..7..46....5..23,125368479864795132793421865237584691948216357651937284572643918319872546486159723,102,
69.....2......1..6..5......1..9..2...53.8..4.8......39....3..8...2.563..5....2...,691378425384521976275649813147963258953287641826415739769134582412856397538792164,36,
54..8.........21...286..4.38......4..9....2..1.2..3.....68...1.4..5....89..2....6,541387692639452187728691453867925341394168275152743869276839514413576928985214736,177,
.3....51...2..6...94...5..........3.65..239...286...5..6......2.1...83....5...19.,736294518582136749941875623194587236657423981328619457463951872219748365875362194,114,
....5..2.....617..9.............63....2.7...6.1...2579...3.9..46...4.9.3.........,167953428243861795958724631574196382392578146816432579725319864681247953439685217,40,
.57...369..63.871........4.9.4.......7561.....1.....9.7.3.4......1..35..........4,857124369496358712132967845964832157275619483318475296783546921641293578529781634,106,
....3.......865...8....4......78.3...6.....253.4.2.6..4.....58..5.....6...26.14.3,649137852217865934835294176521786349968413725374529618496372581153948267782651493,133,
32..........9.......65.43.294...6..5..5.9.2.3.73....6.7.1.5..46.6.......2.......1,329168754457923618816574392942736185685491273173285469731852946564319827298647531,45,
..........874....55...9.87.9..5.7.4.2.19...5...4..........3...4..5...2...7.....13,693875421187426935542193876968517342231964758754382169826731594315649287479258613,152,
.......7..9.15....3...89.417..92.13.2....4............53....2..9..8..3..4.2..1.9.,821463579694157823375289641746928135253614987189375462538796214917842356462531798,52,
.....9.2..3.....4.56...3...34..27..5.7...........8..94.986........9..8..2.6..4...,187549326932768541564213978349127685875496213621385794798631452413952867256874139,66,
.1.2.3.7..5...9..67.268...1......6........937.....1..86.....7....71..589..5..8...,916243875854719326732685491523897614168524937479361258681952743247136589395478162,85,
.34.6...8.82..94....64...........5...472..8.96...87.......3...2......9.3..59.....,934765128582319476716428395823694517147253869659187234491836752268571943375942681,94,
..37.........9.2..951..43.7.....7.......5....57..2.6.92.5.3..6..1......26.74....1,823715496764398215951264387196847523342659178578123649285931764419576832637482951,96,
.7.85...3.5..1...9...97.45.3.....5.....7..8..1...9.....2.4......3....2....95.2.7.,974856123853214769261973458347628591596741832182395647628437915735169284419582376,54,
29......34.8..25.775.4...893...7.......3.58.......67...8.25........4......3..96..,291587463438962517756431289369874152174325896825196734687253941912648375543719628,55,
35...8.6.7.1..........7.1..6.....7.5.......13.18...4..18..2...44.6...3....76.5.8.,352418967761932548894576132643891725579264813218753496185329674426187359937645281,156,
...3.9....1..842...8..2.....2....1....72.34......51....98.....7..1.9.34......5..2,762319854315684279489527631923748165157263498846951723298436517571892346634175982,47,
5.....218....25......7.9.6.6.59.4.....4.6..81..2.5...4...8....22......7....6..9..,579436218846125739321789465685914327934267581712358694467893152293541876158672943,60,
1.76.3..9.........3...7..54.39...21.7..2......6........2.4.1...5.372..4.6..9.....,157643829846592371392178654439857216781264593265319487928431765513726948674985132,119,
5....8.1....4..8..9..7...25........712........3.2....8...9.....79...2.....853.4.9,562398714371425896984761325849153267127684953635279148453917682796842531218536479,47,
.....4.7.......3.2..3...61...2....5.7..16...8851.....73.....5...2.65....61.2.374.,186324975549716382273598614962847153734165298851932467398471526427659831615283749,79,
39..8......5.2.4..7.4....9.4....823.............6...4......4.2..7.9..3..8..5.3..6,396481752185729463724356891467198235913245678258637149639814527571962384842573916,107,
......7.3.1.59..6......6.......1...67.....1....8.....5...2.8..7..91..3...63..5...,695481723312597468487326519954713286726859134138642975541238697879164352263975841,132,
.58..1..91.....7..3..9....5......1745.....3...6.....9...1.........73.6...876...4.,258371469149568732376924815893256174514897326762143598631482957425739681987615243,66,
...........2.5.9...9..2318.53..87..61...9..756.9.......8.3.9...........9....12.6.,713948652862751934495623187534187296128496375679235418286379541351864729947512863,78,
521................7.9.4.1.34.8.95....8......9.7.........35..41....81.73...2....8,521638794493175826876924315342819567658742139917563482789356241265481973134297658,48,
8...67....52.8..7.6..93..2...94.8..7....2.38..6.7....4....4.8....4....3.......6..,891267453352184976647935128139458267475621389268793514716342895984516732523879641,97,
4.8......1..86.9....2..3.6..2......1..3.1.64........8721..8....8.469..7........1.,468129753135867924972453168629748531783512649541936287217385496854691372396274815,88,
......1.75..3..689....8...3......2.....1.6.3...3..591.735........8..2...16.95....,384629157527314689916587423671893245259146738843275916735461892498732561162958374,63,
83.4...1..7..5..9...23.1..5...59.23....213..........4......7......13....42....7..,835429617174856392962371485718594236546213879293768541359647128687132954421985763,93,
1......39.38.2.67....1..4.8....6..4....9...8....23.1.6462.1..............1..74..3,124786539938425671657193428391568742276941385845237196462319857783652914519874263,46,
...7..3.4..7....68...2.6...18.....2.4.2.3.......54...1........63......5.71..6....,261758394957413268834296517185679423492831675673542981548927136326184759719365842,77,
...4....8.4..92.1.6.....7...8.67.4.94..3...6.......8.....93........64.7..328.7..6,917456328348792615625183794283671459459328167176549832764935281891264573532817946,61,
.598.34..........7..7.49.3..1...7...9....5.2.83.1.....5....1....2.....4.4.3..8.5.,259873416346512987187649532615287394974365128832194765568431279721956843493728651,116,
45..8..9.7..1..45....3...1.87.439.............3287.....2....5..........3..49.....,451786392763192458298354716876439125945261837132875964327618549619547283584923671,104,
1..34578........1....7..35...3..6....8.5........43..7....28.1.54......3..6..7.24.,196345782375862914824791356743916528681527493259438671937284165412659837568173249,78,
3...5..6..45..98.......61.......5.....84.3.5...........3....4162..3...8..5..61..2,371258964645139827982746135124685793798423651563917248837592416216374589459861372,82,
1...26......1...52.......782..9.7...678.1.....4..5.....2......4....8....4..6....9,187526493394178652562349178253967841678214935941853267826795314739481526415632789,159,
8.615.....5......4..1.24....78...2..5..4.3...31.......4..7.2.8.6......3......85..,846159327259376814731824965978561243562483791314297658495732186687915432123648579,46,
8....2...26...3....1976.8......97.1....2........3.5..692.......158...6.7.7....25.,834952761267183594519764823385697412691248375742315986923576148158429637476831259,63,
...4..82.8...2.....6..7.9...4.......73..9.6.8.....1.499.....1.42...6.....8....76.,397415826851926437462378951149683275735294618628751349976532184214867593583149762,81,
.8..2.6.92...7...5.9.85...39...81.26...2...37......8..8.2..7...6...9.1.2.1.......,584123679231976485796854213947381526168245937325769841852617394673498152419532768,162,
19..7...5.76....2.5..6...93....13.....4...5.1.6.4.5...41.5.6......92.........7...,193274865876359124542681793257813649984762531361495287418536972735928416629147358,162,
.9.5.3...8...7....1.3.6.2.....6........28..975...9...1.8..5..2...1.....99....2.86,497523618862174935153968274719635842346281597528497361684759123231846759975312486,111,
...7...1....5....4.3....79.4.1.....997...3..53....16.2.953.........6........9..26,864729513719538264532416798421657839976283145358941672695372481283164957147895326,138,
...62...5.7..5..13.234.......7.9...6......32........47.....7.9........644.5..2..1,189623475674958213523471689837294156946715328251386947368147592712539864495862731,70,
....84......2...5....9..1..57...2..88..6..74..64.9....1....79.2....1..7.7..5.6.8.,925184367417263859683975124571432698892651743364798215156847932248319576739526481,69,
.86.4..7....5...1.....7.5...98.....1...1...4.4..9.26.....2....6..9....5..54...2..,586341972947526318132879564398654721265137849471982635713295486829463157654718293,60,
..5.7.3.21.....9.......4.7.6.1....9..2471.53.5.3.2..643..65.........1......3.....,865179342147283956239564871681435297924716538573928164312657489456891723798342615,123,
.....7.3.9.4....2..53..6.1.......3....13...94....5....5...2....2.67.59....9.1.6..,162497835984531726753286419845962371621378594397154268538629147216745983479813652,35,
.26.94..8.5.7...9..1....5..8....7..2.....5.....56.941.............16.9....1...7..,726594138458731296913826574849317652167245389235689417592473861374168925681952743,221,
5...86..4...3.....81..2.5..4..........7...42.3..5..8..2...14.......3......62...73,592186734674395218813427569428971356957863421361542897239714685785639142146258973,124,
7..59.81....1..6.96....4..74.5..1....9.8..5....8.2....2..7....1.5.2.8............,732596814584172639619384257425961378196837542378425196263759481951248763847613925,158,
2.4..8..6.75.6...2..637..84.2......7...1..2.34.....85.7...........4.5.3..58......,234518976875964312196372584329856147587149263461723859743281695612495738958637421,71,
.3.9...258.4.7....9.......33.6....89..8..5....5.6....7...7........82..76.......54,631948725824573961975162843346217589798435612152689437463751298519824376287396154,95,
6.4......23..974........61.71...659.8.9.......6........7......9...2....39.2.8..6.,684152937231697485597843612713426598829715346465938271378564129146279853952381764,58,
5....1...94..2..8....8..1....7..9...19.3.4......2......247..95.8.3...42.....8...3,578931246941627385362845179287169534195374862436258791624713958813596427759482613,39,
53.6..4....1.......24.......86...........31..2.......71..7..2.4.7..6.3.1.6.34.8..,537619428891274653624835719386157942745923186219486537153798264478562391962341875,41,
...2.31..73.9.........54...45......18..7..25...9....4....1.....14.895...398.27...,965273184734981562281654739452368971813749256679512843527136498146895327398427615,42,
...8.9.......7...68.....13..3.5.6..........1.6.7..8.....5..43....19..75..461.78..,163829547524371986879645132932516478458792613617438295795284361281963754346157829,37,
...13......3..7.4.71......9.82.1......4.......9.2.3..1.7...2.159.....37..3.7.89.4,849136752253987146716524839382419567164875293597263481478392615925641378631758924,49,
4.37...8.6.81.2...1....6......4....2...23.5.6....1..3....5..26..5..7...3..6.....7,423759681698142375175386429537468192819237546264915738781593264952674813346821957,46,
...........81.3..5.3954.61....6...9.6...5.4...2....1....1..4...2...8.......3.1..4,152796348468123975739548612384612597617859423925437186571264839243985761896371254,126,
57..62.8...389.6...............87.....2...7...4....398......92492..5..6...7...8..,579162483413895672286734519635987241892413756741526398358671924924358167167249835,65,
.8....3..2..8...1...45316.......984........5...8.2........6..9..3...8..1.6..9.5.2,681942375253876914794531628572319846316784259948625137825167493439258761167493582,67,
5.4.7.....6.........73.42..9.2.364.7.4.1.......39......3.72...4.......9...9.53...,524678931361295748897314265982536417746182359153947826635729184278461593419853672,44,
1......7.6.853...1.5..........3.5.87.1..6..9.8....1..34......68.69........7.....5,123486579698537421754192836946325187315768294872941653431259768569874312287613945,43,
.21...93.46.....8.9..2.54.....1.........84..6..2.3..5...95.6.............4.32..9.,721468935465973182938215467684152379593784216172639854319546728257891643846327591,216,
.....4567....2.3.....9...1......6....3..5.9.........7.91.23...54.....2....2.45..6,293814567164527389857963412729486153638751924541392678916238745485679231372145896,37,
....9.....85...1..4.16...5.59...2....74..95.....8.....827.1......6......1..4.726.,762591384985243176431678952598732641274169538613854729827316495346925817159487263,65,
9....7...1.2.6.3....62....88....3......7...2....6.....6.8....72.1.3.48..49....1..,983457216172968354546231798829513647364789521751642983638195472215374869497826135,64,
..28.691..17..5........78.59.12.8.............65...1..1.4..9....2.7.1.9..7..8.6..,532846917817395426496127835941268573783514269265973148154639782628751394379482651,125,
....6.73...7..5...6...1.4.....4.....95..37.....4..658...........439.8..18..673...,591264738427385916638719425186452397952837164374196582269541873743928651815673249,37,
.............7.53..39..2.84.92....7...8...192.4..........8...4..2..9...8...5..7.1,854936217216478539739152684192685473568347192347219856671823945425791368983564721,42,
...89..1.....435....4.......83.......923.....6....94..5.8.1.6.3...9.685.3.....1..,256897314917643528834152976183475269492361785675289431528714693741936852369528147,103,
2.....76..6...28.3..5..3....5..2.348..1...57.8.4..7.2.67...428.....3.........6...,239815764167942853485673912756129348321468579894357126673594281548231697912786435,72,
.5.....61..84.......4....9..4..85...9.2..35..........6...9.4.1...6..29.358...62..,257398461698421375134567892341685729962713584875249136723954618416872953589136247,160,
4......9..7..5.....8....2....82.1...1..8...6.96..4......65...81.....9..285.1...47,432618795671952834589437216348261579127895463965743128296574381714389652853126947,55,
4....26.9.2...31..3.9...52.73.6.1.5.6.............42..51..7...............6.157..,471582639825963147369147528732691854654728391198354276513879462287436915946215783,29,
2.....8.3..531..9.9..7.......42...3.......1.....4....28...3.9...7...4.1..92.....7,216549873745318296938762451584271639327896145169453782851637924673924518492185367,28,
........98.....35...639.......1.56......6.9.....84..2..13..258.58........64....3.,231584769897216354456397812349125678128763945675849123913472586582631497764958231,62,
.............1934.7..5..9..5....7..1.3.......4.6..3...8.......5.6....7..1..7.4..8,392478156685219347741536982528947631937651824416823579879362415264185793153794268,60,
8..9.7.41...4....72..1..38...1.62...7..3.98.4......7..1...4............23.6......,853927641619438257274156389481762593765319824932584716127843965598671432346295178,53,
..9..2.5....8..1....5..13.6.6.2......3...98...9.1.4..2.......8.31.5.629......36..,149362758673845129825791346561278934432659871798134562256917483314586297987423615,41,
24.........9..56....541....95....4..1......3......45.74.3..7.6.7....92.....6...71,247896153319275684685413792956731428174528936832964517423157869761389245598642371,30,
.41............197...9...2.52....46...8..........4..81..71..5.....26.9...82....1.,941726853236584197875913624523871469418692375769345281697138542154267938382459716,27,
85.........4..5......7.1....4.....8.7.......6.268..1.4.73....4..6...7.5....14.26.,857324619314965728692781435149576382738412596526839174273658941461297853985143267,267,
5....3..9.8.2.4.......19...3......4...53......9...6.5.6.....2..41..6..9...854..6.,562783419189254736734619825376125948245398671891476352657931284413862597928547163,58,
..6.8.....5..67.........7.44.38......79.........17.4....16...3.8..3......34.59..1,746981325352467819918523764463895172179234658285176493521648937897312546634759281,75,
49......1..5..7.24.1...6.95.....4......5.9......26.......3.1.6..5...23179......5.,497825631365197824218436795629714583173589246584263179742351968856942317931678452,83,
....4..2.7.6...3...5...8.1..654........25..711....32.....8....58.1........3..7...,938146527716592348452738916265471893384259671197683254629814735871325469543967182,112,
8....1.....2..5...419.2.8.....4....2....9...39..17.4...5....73..4.....2...18.....,835741296762985341419326857573468912184592673926173485658214739347659128291837564,49,
24.57.6..6..4..2378.....45....3..........4.6.......7....798.3..3........92..6.54.,243571689615498237879236451164327895792854163538619724457982316386145972921763548,35,
21....8.....6.7.....6...4.9..1.7....745....2..8...2.5.........6.789..2..9.2.18...,217549863894637512536281479621875394745193628389462157153724986478956231962318745,59,
19.8.7.6....5.1.7.....2.....7.9.......81.5...3....2..12.3.....9..52..3.8..6......,192847563834561972567329814671984235428135796359672481243718659715296348986453127,125,
..95...3...........4..1.9...6....3.2...3.6......8.9.5...52.84....6.....8...64.2.5,679582134381964527542713986968451372157326849234879651715298463426135798893647215,59,
..9.7..1.....924.......1.2.4.......6....68....1.4.927...5..7.......2.76..6......5,249576813681392457573841629428713596957268134316459278195687342834925761762134985,27,
.........3....9...68.4..1.7.1....4..9..1....34.7...95..9...4.1..3...76.9.4...85..,274631895351789264689452137813975426925146783467823951792564318538217649146398572,58,
.......4.9...6......3.4.5...8......236..2.97...4.5738..3.6.....6.58.....8.......7,156283749948765123723941568587396412361428975294157386439672851675819234812534697,26,
.........2..4.7......2.8..3.3..7.6..8..1.4...4....6....47.....1.8.....3239.8.1.46,763915428218437965954268173139572684826194357475386219547623891681749532392851746,25,
24.......5.37...4.8.61...32......2...2...65.37...15...6...7.4.....5..71..........,241983657593762148876154932465837291128496573739215864652371489384529716917648325,157,
4.1............79....3954.881...735...5..3.2.7...2........7...4.....8......4.9.75,491782563583614792267395418812947356945863127736521849359176284674258931128439675,105,
.4..5...76.5..9......8...1..6..4..72.7859....9..7..1..1.............2..1.5.....4.,849153627615279834723864519561348972278591463934726185182435796497682351356917248,53,
4......7.......2...7.....95.....9..8.876.5....398.......6.8.7.9.......84..2..453.,423956871958417263671328495264179358187635942539842617346581729795263184812794536,87,
...1.....9..5...........1.9.5...8.7.8..3..45...6.4.9..76.8....359.41..673...5...4,247139685913586742685274139452968371879321456136745928764892513598413267321657894,66,
2..5.9.1.1.....234.47....6.9..3.....356..1.....2..........3..27....9.6.....6.7..3,263549718195768234847213569971324856356871492482956371618435927734192685529687143,84,
..8...429..76.985...........5.86.....96.5.....2...75..4..5..3.....298........3.7.,568731429147629853239485761751862934896354217324917586412576398673298145985143672,92,
96........1...9.....2......45...6.2.8....5..7..791..4...4..2651...4..9.8....5.47.,963724185718539264542681793451376829896245317237918546374892651125467938689153472,232,
.7..2.......7.485....56..1..5....4..6.2..8..1..8147............5.42.3.8.73.4.....,975821643261734859483569217157692438642358791398147562826915374514273986739486125,30,
..82...4....8..7.6...9.....95..8..7.1....6.9......12.5.4.....5....1....9.1...5.6.,568217943294853716731964582953482671127536894486791235342679158675148329819325467,32,
...2..48..58....3..6......11..6..8..5.....9....93.15...4...83..6..9...2....4..1..,917236485258194637463785291134659872576842913829371546741528369685913724392467158,25,
..7.....3..57.4...1...62.5.4.....5.....1....4...5.3.617.6.5......4971.....9....1.,267895143935714826148362759491627538653189274872543961716458392324971685589236417,55,
...5.46.2....6......8....3..2.65........7...51....3..47..3..5..6...8....24.1.....,971534682432867951568219437824651793396478125157923864789342516613785249245196378,170,
.2..58..3..9.1....57...6....1......5.....3.28.3.7..9....7..........25...1......9.,421958673689317542573246819918462735764593128235781964847639251396125487152874396,158,
.......3.13....49.8.5..7..66.9.......43..8...78..46.....4.1....517...8.......9...,472691538136582497895437216659123784243758961781946352924815673517364829368279145,88,
5....8.7..4.3..9...98...2......3....65.....27..24............6....9.648.9...7....,563298174247361958198745236719632845654189327832457691481523769375916482926874513,85,
....3...2.6...4..1.9..2....2.936..4.6...1.3.............4..1.8695.2.......6.9.5..,478135692562974831193628754289367145645812379731549268324751986957286413816493527,164,
5...8.........5.32....1....2.9....17....9...8.53....9..8.94...513...2.74...7.....,526389741941675832378214659269438517417596328853127496782943165135862974694751283,84,
.3...75.16...1......53.8.........9.5976......8...6..7.....8...9.1.....475.....3..,432697581687215493195348726321874965976152834854963172763481259218539647549726318,70,
